,gross_ret,equity_turnover,cash_turnover,turnover,fee_cost,impact_cost,cost,missing_ret_penalty_ret,capacity_shortfall,base_exposure_signal,base_exposure,vol_scale_signal,vol_scale,exposure,regime,regime_label,net_ret,nav,return_mode,weight_lag_days,exposure_signal_lag_days,vol_scale_lag_days,missing_ret_policy,max_participation_of_adv,impact_bps_at_100pct_adv
2022-01-21,-0.041225274758591085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7827066082318693,0.6568174883543457,0.6508650617448887,1,Transition,-0.041225274758591085,2.5459550472121415,close_to_close,1,1,1,liquidate,,0.0
2022-01-24,0.00756319409950159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6214745628857004,0.7827066082318693,0.6508650617448887,1,Transition,0.00756319409950159,2.5652105994028127,close_to_close,1,1,1,liquidate,,0.0
2022-01-25,-0.02250683828407983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6155806223594761,0.6214745628857004,0.6508650617448887,1,Transition,-0.02250683828407983,2.5074758192774462,close_to_close,1,1,1,liquidate,,0.0
2022-01-26,-0.0037121584951379967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6105334791315173,0.6155806223594761,0.6508650617448887,1,Transition,-0.0037121584951379967,2.4981676716135626,close_to_close,1,1,1,liquidate,,0.0
2022-01-27,-0.001182250148476352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6092212910867132,0.6105334791315173,0.6508650617448887,1,Transition,-0.001182250148476352,2.4952142125128787,close_to_close,1,1,1,liquidate,,0.0
2022-01-28,0.020336278764130872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6070460544064438,0.6092212910867132,0.6508650617448887,1,Transition,0.020336278764130872,2.5459575843147615,close_to_close,1,1,1,liquidate,,0.0
2022-01-31,0.032932039182351894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5519620642260227,0.6070460544064438,0.6508650617448887,1,Transition,0.032932039182351894,2.6298011592380215,close_to_close,1,1,1,liquidate,,0.0
2022-02-01,0.010956241727643345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.46162651914530534,0.5519620642260227,0.6508650617448887,1,Transition,0.010956241727643345,2.6586138964342703,close_to_close,1,1,1,liquidate,,0.0
2022-02-02,-0.0235163392775316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4516669731430762,0.46162651914530534,0.6508650617448887,1,Transition,-0.0235163392775316,2.596093030037762,close_to_close,1,1,1,liquidate,,0.0
2022-02-03,-0.02519833743764973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.44024110217638035,0.4516669731430762,0.6508650617448887,1,Transition,-0.02519833743764973,2.5306758018473396,close_to_close,1,1,1,liquidate,,0.0
