tic,predicted_return,trade_date
GOOGL,0.0909892107258076,2020-05-18
META,0.0894191520092959,2020-05-18
TTD,0.1327721939510565,2020-05-18
WBD,0.1441647381943508,2020-05-18
CSGP,0.0536049025831744,2020-05-18
LIN,0.0568628145847469,2020-05-19
AXON,0.0579110570251941,2020-05-19
MELI,0.0598067939281463,2020-05-19
ORLY,0.0501387976109981,2020-05-19
SBUX,0.0526515915989875,2020-05-19
TSLA,0.0607108548283577,2020-05-19
ADBE,0.0473979793519609,2020-05-19
ADSK,0.0484835987916261,2020-05-19
AMAT,0.0487480573356151,2020-05-19
CDNS,0.0547818059869897,2020-05-19
CDW,0.0512913003181245,2020-05-19
CRWD,0.0669807843611018,2020-05-19
LRCX,0.0518167174971887,2020-05-19
NVDA,0.0788035573590256,2020-05-19
PANW,0.0542822254613326,2020-05-19
CHTR,0.0550240473485511,2020-05-19
EA,0.0964583102889711,2020-05-19
GOOGL,0.0909892107258076,2020-05-19
META,0.0894191520092959,2020-05-19
TTD,0.1327721939510565,2020-05-19
WBD,0.1441647381943508,2020-05-19
CSGP,0.0536049025831744,2020-05-19
LIN,0.0568628145847469,2020-05-20
AXON,0.0579110570251941,2020-05-20
MELI,0.0598067939281463,2020-05-20
ORLY,0.0501387976109981,2020-05-20
SBUX,0.0526515915989875,2020-05-20
TSLA,0.0607108548283577,2020-05-20
ADSK,0.0484835987916261,2020-05-20
AMAT,0.0487480573356151,2020-05-20
CDNS,0.0547818059869897,2020-05-20
CDW,0.0512913003181245,2020-05-20
CRWD,0.0669807843611018,2020-05-20
LRCX,0.0518167174971887,2020-05-20
NVDA,0.0788035573590256,2020-05-20
PANW,0.0542822254613326,2020-05-20
CHTR,0.0550240473485511,2020-05-20
EA,0.0964583102889711,2020-05-20
GOOGL,0.0909892107258076,2020-05-20
META,0.0894191520092959,2020-05-20
TTD,0.1327721939510565,2020-05-20
TTWO,0.0582126981413664,2020-05-20
WBD,0.1441647381943508,2020-05-20
CSGP,0.0536049025831744,2020-05-20
LIN,0.0568628145847469,2020-05-21
AXON,0.0579110570251941,2020-05-21
MELI,0.0598067939281463,2020-05-21
ORLY,0.0501387976109981,2020-05-21
SBUX,0.0526515915989875,2020-05-21
TSLA,0.0607108548283577,2020-05-21
AMAT,0.0487480573356151,2020-05-21
CDNS,0.0547818059869897,2020-05-21
CDW,0.0512913003181245,2020-05-21
CRWD,0.0669807843611018,2020-05-21
INTU,0.0487480573356151,2020-05-21
LRCX,0.0518167174971887,2020-05-21
NVDA,0.0620639361441135,2020-05-21
PANW,0.0488589331507682,2020-05-21
CHTR,0.0550240473485511,2020-05-21
EA,0.0964583102889711,2020-05-21
GOOGL,0.0909892107258076,2020-05-21
META,0.0894191520092959,2020-05-21
TTD,0.1327721939510565,2020-05-21
TTWO,0.0582126981413664,2020-05-21
WBD,0.1441647381943508,2020-05-21
CSGP,0.0536049025831744,2020-05-21
LIN,0.0568628145847469,2020-05-22
AXON,0.0579110570251941,2020-05-22
MELI,0.0598067939281463,2020-05-22
ORLY,0.0501387976109981,2020-05-22
SBUX,0.0526515915989875,2020-05-22
TSLA,0.0607108548283577,2020-05-22
ADSK,0.0484835987916261,2020-05-22
AMAT,0.0487480573356151,2020-05-22
CDNS,0.0547818059869897,2020-05-22
CDW,0.0512913003181245,2020-05-22
CRWD,0.0669807843611018,2020-05-22
INTU,0.0487480573356151,2020-05-22
LRCX,0.0518167174971887,2020-05-22
NVDA,0.0620639361441135,2020-05-22
PANW,0.0488589331507682,2020-05-22
CHTR,0.0550240473485511,2020-05-22
EA,0.0964583102889711,2020-05-22
GOOGL,0.0909892107258076,2020-05-22
META,0.0894191520092959,2020-05-22
TTD,0.1327721939510565,2020-05-22
TTWO,0.0582126981413664,2020-05-22
WBD,0.1441647381943508,2020-05-22
CSGP,0.0536049025831744,2020-05-22
LIN,0.0568628145847469,2020-05-25
AXON,0.0579110570251941,2020-05-25
MELI,0.0598067939281463,2020-05-25
ORLY,0.0501387976109981,2020-05-25
SBUX,0.0526515915989875,2020-05-25
TSLA,0.0607108548283577,2020-05-25
ADSK,0.0484835987916261,2020-05-25
AMAT,0.0487480573356151,2020-05-25
CDNS,0.0547818059869897,2020-05-25
CDW,0.0512913003181245,2020-05-25
CRWD,0.0669807843611018,2020-05-25
INTU,0.0487480573356151,2020-05-25
LRCX,0.0518167174971887,2020-05-25
NVDA,0.0620639361441135,2020-05-25
PANW,0.0488589331507682,2020-05-25
CHTR,0.0550240473485511,2020-05-25
EA,0.0964583102889711,2020-05-25
GOOGL,0.0909892107258076,2020-05-25
META,0.0894191520092959,2020-05-25
TTD,0.1327721939510565,2020-05-25
TTWO,0.0582126981413664,2020-05-25
WBD,0.1441647381943508,2020-05-25
CSGP,0.0536049025831744,2020-05-25
LIN,0.0568628145847469,2020-05-26
AXON,0.0579110570251941,2020-05-26
MELI,0.0598067939281463,2020-05-26
ORLY,0.0501387976109981,2020-05-26
SBUX,0.0526515915989875,2020-05-26
TSLA,0.0607108548283577,2020-05-26
ADSK,0.0484835987916261,2020-05-26
AMAT,0.0487480573356151,2020-05-26
CDNS,0.0547818059869897,2020-05-26
CDW,0.0512913003181245,2020-05-26
CRWD,0.0669807843611018,2020-05-26
INTU,0.0487480573356151,2020-05-26
LRCX,0.0518167174971887,2020-05-26
NVDA,0.0620639361441135,2020-05-26
PANW,0.0488589331507682,2020-05-26
CHTR,0.0550240473485511,2020-05-26
EA,0.0964583102889711,2020-05-26
GOOGL,0.0909892107258076,2020-05-26
META,0.0894191520092959,2020-05-26
TTD,0.1327721939510565,2020-05-26
